Species,Start of experiment,Date,Day elapsed,Colony,Treatment,N fragment,Bleached fragments,Healthy fragments
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG01,Control,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG02,Control,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG03,Control,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG04,Control,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG05,Control,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG06,Control,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG07,Control,7,0,7
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG08,Control,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG09,Control,7,0,7
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG10,Control,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG11,Control,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG12,Control,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG13,Control,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG14,Control,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG15,Control,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG16,Control,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG17,Control,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG18,Control,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG19,Control,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG20,Control,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG21,Control,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG22,Control,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG23,Control,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG24,Control,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG25,Control,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG26,Control,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG27,Control,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG28,Control,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG29,Control,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG30,Control,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG31,Control,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG32,Control,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG33,Control,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG34,Control,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG35,Control,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG36,Control,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG37,Control,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG38,Control,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG39,Control,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG40,Control,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG01,Heat-stressed,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG02,Heat-stressed,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG03,Heat-stressed,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG04,Heat-stressed,7,0,7
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG05,Heat-stressed,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG06,Heat-stressed,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG07,Heat-stressed,7,0,7
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG08,Heat-stressed,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG09,Heat-stressed,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG10,Heat-stressed,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG11,Heat-stressed,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG12,Heat-stressed,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG13,Heat-stressed,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG14,Heat-stressed,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG15,Heat-stressed,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG16,Heat-stressed,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG17,Heat-stressed,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG18,Heat-stressed,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG19,Heat-stressed,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG20,Heat-stressed,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG21,Heat-stressed,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG22,Heat-stressed,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG23,Heat-stressed,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG24,Heat-stressed,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG25,Heat-stressed,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG26,Heat-stressed,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG27,Heat-stressed,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG28,Heat-stressed,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG29,Heat-stressed,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG30,Heat-stressed,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG31,Heat-stressed,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG32,Heat-stressed,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG33,Heat-stressed,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG34,Heat-stressed,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG35,Heat-stressed,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG36,Heat-stressed,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG37,Heat-stressed,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG38,Heat-stressed,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG39,Heat-stressed,8,0,8
A. digitifera,28-Oct-21,28-Oct-21,0,ADIG40,Heat-stressed,8,0,8
A. digitifera,28-Oct-21,29-Oct-21,1,ADIG01,Control,8,0,8
A. digitifera,28-Oct-21,29-Oct-21,1,ADIG02,Control,8,0,8
A. digitifera,28-Oct-21,29-Oct-21,1,ADIG03,Control,8,0,8
A. digitifera,28-Oct-21,29-Oct-21,1,ADIG04,Control,8,0,8
A. digitifera,28-Oct-21,29-Oct-21,1,ADIG05,Control,8,0,8
A. digitifera,28-Oct-21,29-Oct-21,1,ADIG06,Control,8,0,8
A. digitifera,28-Oct-21,29-Oct-21,1,ADIG07,Control,7,0,7
A. digitifera,28-Oct-21,29-Oct-21,1,ADIG08,Control,8,0,8
A. digitifera,28-Oct-21,29-Oct-21,1,ADIG09,Control,7,0,7
A. digitifera,28-Oct-21,29-Oct-21,1,ADIG10,Control,8,0,8
A. digitifera,28-Oct-21,29-Oct-21,1,ADIG11,Control,8,0,8
A. digitifera,28-Oct-21,29-Oct-21,1,ADIG12,Control,8,0,8
A. digitifera,28-Oct-21,29-Oct-21,1,ADIG13,Control,8,0,8
A. digitifera,28-Oct-21,29-Oct-21,1,ADIG14,Control,8,0,8
A. digitifera,28-Oct-21,29-Oct-21,1,ADIG15,Control,8,0,8
A. digitifera,28-Oct-21,29-Oct-21,1,ADIG16,Control,8,0,8
A. digitifera,28-Oct-21,29-Oct-21,1,ADIG17,Control,8,0,8
A. digitifera,28-Oct-21,29-Oct-21,1,ADIG18,Control,8,0,8
A. digitifera,28-Oct-21,29-Oct-21,1,ADIG19,Control,8,0,8
A. digitifera,28-Oct-21,29-Oct-21,1,ADIG20,Control,8,0,8
A. digitifera,28-Oct-21,29-Oct-21,1,ADIG21,Control,8,0,8
A. digitifera,28-Oct-21,29-Oct-21,1,ADIG22,Control,8,0,8
A. digitifera,28-Oct-21,29-Oct-21,1,ADIG23,Control,8,0,8
A. digitifera,28-Oct-21,29-Oct-21,1,ADIG24,Control,8,0,8
A. digitifera,28-Oct-21,29-Oct-21,1,ADIG25,Control,8,0,8
A. digitifera,28-Oct-21,29-Oct-21,1,ADIG26,Control,8,0,8
A. digitifera,28-Oct-21,29-Oct-21,1,ADIG27,Control,8,0,8
A. digitifera,28-Oct-21,29-Oct-21,1,ADIG28,Control,8,0,8
A. digitifera,28-Oct-21,29-Oct-21,1,ADIG29,Control,8,0,8
A. digitifera,28-Oct-21,29-Oct-21,1,ADIG30,Control,8,0,8
A. digitifera,28-Oct-21,29-Oct-21,1,ADIG31,Control,8,0,8
A. digitifera,28-Oct-21,29-Oct-21,1,ADIG32,Control,8,0,8
A. digitifera,28-Oct-21,29-Oct-21,1,ADIG33,Control,8,0,8
A. digitifera,28-Oct-21,29-Oct-21,1,ADIG34,Control,8,0,8
A. digitifera,28-Oct-21,29-Oct-21,1,ADIG35,Control,8,0,8
A. digitifera,28-Oct-21,29-Oct-21,1,ADIG36,Control,8,0,8
A. digitifera,28-Oct-21,29-Oct-21,1,ADIG37,Control,8,0,8
A. digitifera,28-Oct-21,29-Oct-21,1,ADIG38,Control,8,0,8
A. digitifera,28-Oct-21,29-Oct-21,1,ADIG39,Control,8,0,8
A. digitifera,28-Oct-21,29-Oct-21,1,ADIG40,Control,8,0,8
A. digitifera,28-Oct-21,29-Oct-21,1,ADIG01,Heat-stressed,8,0,8
